Generation,Population,Orders,Trades,Positions,Fees (USDT),RealizedProfits (USDT),ROI,Price Interval for JMA etc.,Hard Exit Now,Soft Exit Now,dca_gap_modifier (0.5x - 1.5x),max_dca_orders,above_this_adx_means_trending (ex: 25),jma_percent_tp_offset (ex: 0.10),jma_period_length,tp_percent_offset,rsi RSI Length,rsi SMA Length,rsi Buy Level,rsi Sell Level
1,176,113,108,39,1.04106608,8.2819339199994,276.578%,2,False,False,1,10,25,0.1,50,0.32,23,6,45,55
1,175,137,134,52,1.2693792,6.9512207999996,247.0597%,2,False,False,1,10,25,0.1,50,0.22,23,6,45,55
1,174,172,164,66,1.54157376,6.4822262399996,237.2435%,2,False,False,1,10,25,0.1,50,0.16,23,6,45,55
1,173,201,193,79,1.80340464,5.4737953599996,203.9413%,2,False,False,1,10,25,0.1,50,0.12,23,6,45,55
1,172,108,103,37,1.00120088,8.0565991199994,264.26%,2,False,False,1,10,25,0.1,49,0.32,23,6,45,55
1,171,131,128,49,1.22163564,6.6547643599996,232.3698%,2,False,False,1,10,25,0.1,49,0.22,23,6,45,55
1,170,165,157,62,1.48604484,6.1829551599996,222.393%,2,False,False,1,10,25,0.1,49,0.16,23,6,45,55
1,169,193,185,75,1.73975604,5.2096439599996,191.4633%,2,False,False,1,10,25,0.1,49,0.12,23,6,45,55
1,168,109,103,37,1.00121192,8.0549880799994,264.2042%,2,False,False,1,10,25,0.1,48,0.32,23,6,45,55
1,167,132,128,49,1.22162508,6.6903749199996,233.614%,2,False,False,1,10,25,0.1,48,0.22,23,6,45,55
1,166,166,158,63,1.48498156,6.1446184399996,224.7533%,2,False,False,1,10,25,0.1,48,0.16,23,6,45,55
1,165,189,181,74,1.69717876,5.1438212399996,190.5524%,2,False,False,1,10,25,0.1,48,0.12,23,6,45,55
1,164,108,102,36,0.99171684,7.8522831599998,255.5809%,2,False,False,1,10,25,0.1,47,0.32,23,6,45,55
1,163,133,129,49,1.22970572,6.6302942799998,231.5159%,2,False,False,1,10,25,0.1,47,0.22,23,6,45,55
1,162,166,158,63,1.48499548,5.9922045199998,219.1789%,2,False,False,1,10,25,0.1,47,0.16,23,6,45,55
1,161,189,181,73,1.70500368,5.1069963199998,186.6608%,2,False,False,1,10,25,0.1,47,0.12,23,6,45,55
1,160,108,102,36,0.9917248,7.7828751999998,253.3245%,2,False,False,1,10,25,0.1,46,0.32,23,6,45,55
1,159,133,129,49,1.22968564,6.6835143599998,233.3769%,2,False,False,1,10,25,0.1,46,0.22,23,6,45,55
1,158,162,154,61,1.45197624,5.8162237599998,211.0528%,2,False,False,1,10,25,0.1,46,0.16,23,6,45,55
1,157,189,181,73,1.70385408,4.94334592,180.8136%,2,False,False,1,10,25,0.1,46,0.12,23,6,45,55
1,156,108,102,36,0.99171952,7.7592804799998,252.5597%,2,False,False,1,10,25,0.1,45,0.32,23,6,45,55
1,155,133,129,49,1.2296644,6.7305355999998,235.0216%,2,False,False,1,10,25,0.1,45,0.22,23,6,45,55
1,154,161,153,60,1.45304132,5.8725586799998,209.4362%,2,False,False,1,10,25,0.1,45,0.16,23,6,45,55
1,153,192,184,74,1.73683152,5.01116848,182.0431%,2,False,False,1,10,25,0.1,45,0.12,23,6,45,55
1,152,104,98,34,0.95746484,7.54433516,241.0051%,2,False,False,1,10,25,0.1,44,0.32,23,6,45,55
1,151,137,133,51,1.26480796,6.90899204,243.4758%,2,False,False,1,10,25,0.1,44,0.22,23,6,45,55
1,150,157,151,59,1.4374504,5.6913496000002,201.9378%,2,False,False,1,10,25,0.1,44,0.16,23,6,45,55
1,149,188,180,72,1.70661044,5.0065895600004,180.3073%,2,False,False,1,10,25,0.1,44,0.12,23,6,45,55
1,148,103,99,34,0.97182568,7.2937743199998,229.1349%,2,False,False,1,10,25,0.1,43,0.32,23,6,45,55
1,147,134,130,49,1.24602952,6.8823704799998,236.8683%,2,False,False,1,10,25,0.1,43,0.22,23,6,45,55
1,146,152,146,56,1.40198656,5.5484134400002,191.9779%,2,False,False,1,10,25,0.1,43,0.16,23,6,45,55
1,145,189,181,73,1.70534132,5.02025868,183.455%,2,False,False,1,10,25,0.1,43,0.12,23,6,45,55
1,144,106,102,36,0.9880434,7.3509566000004,240.0316%,2,False,False,1,10,25,0.1,42,0.32,23,6,45,55
1,143,136,132,50,1.26194904,6.9888509600002,242.0565%,2,False,False,1,10,25,0.1,42,0.22,23,6,45,55
1,142,154,148,57,1.41787268,5.6871273200006,197.8612%,2,False,False,1,10,25,0.1,42,0.16,23,6,45,55
1,141,186,178,72,1.66905376,4.9919462400004,184.1049%,2,False,False,1,10,25,0.1,42,0.12,23,6,45,55
1,140,106,100,35,0.9719524,7.2876476,235.6578%,2,False,False,1,10,25,0.1,41,0.32,23,6,45,55
1,139,138,132,50,1.2617568,6.8658431999998,237.8411%,2,False,False,1,10,25,0.1,41,0.22,23,6,45,55
1,138,156,148,57,1.41762196,5.8373780400002,203.123%,2,False,False,1,10,25,0.1,41,0.16,23,6,45,55
1,137,186,178,72,1.66717752,5.00422248,184.7796%,2,False,False,1,10,25,0.1,41,0.12,23,6,45,55
1,136,102,99,34,0.97177328,7.29062672,229.0662%,2,False,False,1,10,25,0.1,40,0.32,23,6,45,55
1,135,136,131,49,1.26144064,6.8089593599998,231.2184%,2,False,False,1,10,25,0.1,40,0.22,23,6,45,55
1,134,152,145,55,1.40054376,5.9130562400002,201.1562%,2,False,False,1,10,25,0.1,40,0.16,23,6,45,55
1,133,185,177,71,1.66780312,4.97159688,180.9532%,2,False,False,1,10,25,0.1,40,0.12,23,6,45,55
1,132,103,100,35,0.97161788,7.34278212,237.7723%,2,False,False,1,10,25,0.1,39,0.32,23,6,45,55
1,131,135,130,49,1.2437258,6.8300741999998,235.5403%,2,False,False,1,10,25,0.1,39,0.22,23,6,45,55
1,130,151,144,55,1.3828722,5.7209278000002,197.3154%,2,False,False,1,10,25,0.1,39,0.16,23,6,45,55
1,129,189,181,73,1.70265092,4.9807490799998,182.3232%,2,False,False,1,10,25,0.1,39,0.12,23,6,45,55
1,128,108,105,37,1.02123236,7.8841676400002,255.2109%,2,False,False,1,10,25,0.1,38,0.32,23,6,45,55
1,127,138,133,50,1.27552268,7.0712773200002,242.0526%,2,False,False,1,10,25,0.1,38,0.22,23,6,45,55
1,126,150,143,55,1.36224924,5.6583507599998,198.3658%,2,False,False,1,10,25,0.1,38,0.16,23,6,45,55
1,125,191,183,74,1.71693512,5.0542648799998,185.8821%,2,False,False,1,10,25,0.1,38,0.12,23,6,45,55
1,124,108,106,37,1.03904648,7.9223535199998,251.5573%,2,False,False,1,10,25,0.1,37,0.32,23,6,45,55
1,123,139,135,50,1.31047192,7.3455280799998,244.1356%,2,False,False,1,10,25,0.1,37,0.22,23,6,45,55
1,122,146,142,54,1.36348436,5.5907156399998,192.2519%,2,False,False,1,10,25,0.1,37,0.16,23,6,45,55
1,121,182,177,71,1.66512812,5.1008718799998,185.9746%,2,False,False,1,10,25,0.1,37,0.12,23,6,45,55
1,120,110,108,38,1.05497632,8.1496236800002,261.289%,2,False,False,1,10,25,0.1,36,0.32,23,6,45,55
1,119,141,137,51,1.32641428,7.5101857200002,251.2644%,2,False,False,1,10,25,0.1,36,0.22,23,6,45,55
1,118,148,144,55,1.3794314,5.7535686000002,198.9844%,2,False,False,1,10,25,0.1,36,0.16,23,6,45,55
1,117,180,175,70,1.64866384,5.1679361600004,187.7488%,2,False,False,1,10,25,0.1,36,0.12,23,6,45,55
1,116,109,105,36,1.03884292,8.0447570799996,248.5894%,2,False,False,1,10,25,0.1,35,0.32,23,6,45,55
1,115,140,136,50,1.32629224,7.4741077599996,245.1782%,2,False,False,1,10,25,0.1,35,0.22,23,6,45,55
1,114,147,143,54,1.37759908,5.8550009199996,199.0927%,2,False,False,1,10,25,0.1,35,0.16,23,6,45,55
1,113,187,182,72,1.74406412,5.80093588,203.0365%,2,False,False,1,10,25,0.1,35,0.12,23,6,45,55
1,112,113,109,37,1.08867348,8.4101265200004,253.5245%,2,False,False,1,10,25,0.1,34,0.32,23,6,45,55
1,111,144,140,51,1.37623872,7.5753612800004,243.4925%,2,False,False,1,10,25,0.1,34,0.22,23,6,45,55
1,110,150,145,54,1.40987868,6.15952132,204.2492%,2,False,False,1,10,25,0.1,34,0.16,23,6,45,55
1,109,194,188,74,1.81133296,5.98846704,206.9566%,2,False,False,1,10,25,0.1,34,0.12,23,6,45,55
1,108,116,111,38,1.10452664,8.4192733600004,256.5148%,2,False,False,1,10,25,0.1,33,0.32,23,6,45,55
1,107,143,140,51,1.37453612,7.5474638800004,242.9095%,2,False,False,1,10,25,0.1,33,0.22,23,6,45,55
1,106,151,145,54,1.40984704,6.18295296,205.027%,2,False,False,1,10,25,0.1,33,0.16,23,6,45,55
1,105,192,186,73,1.79437648,5.94362352,204.6526%,2,False,False,1,10,25,0.1,33,0.12,23,6,45,55
1,104,116,111,38,1.10452084,8.3640791600006,254.8366%,2,False,False,1,10,25,0.1,32,0.32,23,6,45,55
1,103,141,138,50,1.35884716,7.4445528400006,237.8468%,2,False,False,1,10,25,0.1,32,0.22,23,6,45,55
1,102,151,145,54,1.40982976,6.1831702400006,205.0363%,2,False,False,1,10,25,0.1,32,0.16,23,6,45,55
1,101,194,188,74,1.81203024,5.9717697600006,206.2931%,2,False,False,1,10,25,0.1,32,0.12,23,6,45,55
1,100,118,113,39,1.12130916,8.45269084,259.9358%,2,False,False,1,10,25,0.1,31,0.32,23,6,45,55
1,99,141,138,50,1.35972688,7.51527312,239.9354%,2,False,False,1,10,25,0.1,31,0.22,23,6,45,55
1,98,153,147,55,1.42665556,6.25114444,208.4382%,2,False,False,1,10,25,0.1,31,0.16,23,6,45,55
1,97,194,188,74,1.81285276,5.8601472400004,202.3423%,2,False,False,1,10,25,0.1,31,0.12,23,6,45,55
1,96,117,112,38,1.12307508,8.6449249200002,258.5875%,2,False,False,1,10,25,0.1,30,0.32,23,6,45,55
1,95,138,135,49,1.32396472,7.3702352800002,237.3901%,2,False,False,1,10,25,0.1,30,0.22,23,6,45,55
1,94,155,149,56,1.44275152,6.47004848,217.0123%,2,False,False,1,10,25,0.1,30,0.16,23,6,45,55
1,93,194,188,74,1.81310912,5.7396908800004,198.1614%,2,False,False,1,10,25,0.1,30,0.12,23,6,45,55
1,92,117,112,38,1.12309848,8.71690152,260.7312%,2,False,False,1,10,25,0.1,29,0.32,23,6,45,55
1,91,142,139,51,1.35576296,7.5610370400002,247.0134%,2,False,False,1,10,25,0.1,29,0.22,23,6,45,55
1,90,157,151,57,1.45891964,6.4606803600002,217.9298%,2,False,False,1,10,25,0.1,29,0.16,23,6,45,55
1,89,188,181,71,1.7429804,5.8114195999996,200.7126%,2,False,False,1,10,25,0.1,29,0.12,23,6,45,55
1,88,119,115,39,1.15493208,8.7976679199996,261.8676%,2,False,False,1,10,25,0.1,28,0.32,23,6,45,55
1,87,144,142,52,1.38754748,7.8844525199996,256.1002%,2,False,False,1,10,25,0.1,28,0.22,23,6,45,55
1,86,161,156,59,1.50744316,6.7119568399996,226.2221%,2,False,False,1,10,25,0.1,28,0.16,23,6,45,55
1,85,195,190,75,1.8253298,6.3290701999994,219.885%,2,False,False,1,10,25,0.1,28,0.12,23,6,45,55
1,84,122,118,40,1.19034024,9.2808597600002,274.0495%,2,False,False,1,10,25,0.1,27,0.32,23,6,45,55
1,83,150,146,54,1.42231524,7.88628476,258.9805%,2,False,False,1,10,25,0.1,27,0.22,23,6,45,55
1,82,167,162,62,1.55950424,7.0498957600004,240.7317%,2,False,False,1,10,25,0.1,27,0.16,23,6,45,55
1,81,203,198,79,1.893431,6.3767690000002,224.5022%,2,False,False,1,10,25,0.1,27,0.12,23,6,45,55
1,80,123,119,41,1.18958424,9.1490157600004,277.1101%,2,False,False,1,10,25,0.1,26,0.32,23,6,45,55
1,79,152,148,55,1.4390898,8.0257102000004,265.0535%,2,False,False,1,10,25,0.1,26,0.22,23,6,45,55
1,78,177,171,65,1.66067752,7.40292248,247.7464%,2,False,False,1,10,25,0.1,26,0.16,23,6,45,55
1,77,211,206,82,1.97525052,6.6795494800002,233.4419%,2,False,False,1,10,25,0.1,26,0.12,23,6,45,55
1,76,123,119,41,1.18960404,9.1805959600004,278.0634%,2,False,False,1,10,25,0.1,25,0.32,23,6,45,55
1,75,150,146,54,1.4232036,7.9411964000004,260.608%,2,False,False,1,10,25,0.1,25,0.22,23,6,45,55
1,74,179,173,66,1.67657964,7.47262036,251.3532%,2,False,False,1,10,25,0.1,25,0.16,23,6,45,55
1,73,214,208,83,1.99023652,6.6797634800006,234.3138%,2,False,False,1,10,25,0.1,25,0.12,23,6,45,55
1,72,119,115,38,1.17168984,8.9415101599998,255.2241%,2,False,False,1,10,25,0.1,24,0.32,23,6,45,55
1,71,163,158,58,1.55659532,8.5088046799998,272.2992%,2,False,False,1,10,25,0.1,24,0.22,23,6,45,55
1,70,186,180,68,1.75795904,7.6486409599994,251.9955%,2,False,False,1,10,25,0.1,24,0.16,23,6,45,55
1,69,217,212,83,2.04683224,6.7217677600004,229.978%,2,False,False,1,10,25,0.1,24,0.12,23,6,45,55
1,68,120,116,39,1.17141888,8.89878112,260.7582%,2,False,False,1,10,25,0.1,23,0.32,23,6,45,55
1,67,158,154,57,1.50567796,8.38792204,273.4114%,2,False,False,1,10,25,0.1,23,0.22,23,6,45,55
1,66,192,187,71,1.82734656,7.57825344,250.0603%,2,False,False,1,10,25,0.1,23,0.16,23,6,45,55
1,65,214,212,84,2.02789476,6.5859052400004,230.2957%,2,False,False,1,10,25,0.1,23,0.12,23,6,45,55
1,64,126,121,41,1.22032,9.44788,278.2218%,2,False,False,1,10,25,0.1,22,0.32,23,6,45,55
1,63,159,154,57,1.5044132,8.5213868,278.0078%,2,False,False,1,10,25,0.1,22,0.22,23,6,45,55
1,62,198,192,74,1.85926416,7.8889358399998,266.4961%,2,False,False,1,10,25,0.1,22,0.16,23,6,45,55
1,61,223,220,88,2.09531892,6.5790810800002,232.9486%,2,False,False,1,10,25,0.1,22,0.12,23,6,45,55
1,60,131,126,43,1.27115924,10.1050407600002,298.43%,2,False,False,1,10,25,0.1,21,0.32,23,6,45,55
1,59,153,150,55,1.46774092,8.5952590800002,277.8682%,2,False,False,1,10,25,0.1,21,0.22,23,6,45,55
1,58,199,193,74,1.87816604,8.00283396,267.4546%,2,False,False,1,10,25,0.1,21,0.16,23,6,45,55
1,57,224,221,88,2.11280456,6.6835954400004,234.5831%,2,False,False,1,10,25,0.1,21,0.12,23,6,45,55
1,56,129,124,42,1.25286324,10.0257367599994,293.8222%,2,False,False,1,10,25,0.1,20,0.32,23,6,45,55
1,55,160,157,57,1.55412772,9.2384722799994,291.0159%,2,False,False,1,10,25,0.1,20,0.22,23,6,45,55
1,54,201,195,74,1.91097768,8.0496223199996,264.1203%,2,False,False,1,10,25,0.1,20,0.16,23,6,45,55
1,53,223,220,87,2.10876452,6.72163548,233.6999%,2,False,False,1,10,25,0.1,20,0.12,23,6,45,55
1,52,133,128,43,1.30392844,10.3990715599998,298.6929%,2,False,False,1,10,25,0.1,19,0.32,23,6,45,55
1,51,165,162,59,1.60491996,9.4422800399998,297.4141%,2,False,False,1,10,25,0.1,19,0.22,23,6,45,55
1,50,207,201,77,1.9593202,8.2774797999998,275.2244%,2,False,False,1,10,25,0.1,19,0.16,23,6,45,55
1,49,239,234,93,2.24277676,6.8952232400004,240.1877%,2,False,False,1,10,25,0.1,19,0.12,23,6,45,55
1,48,135,129,43,1.31969472,10.5467052800008,298.987%,2,False,False,1,10,25,0.1,18,0.32,23,6,45,55
1,47,169,165,60,1.63838096,9.5384190400008,298.8627%,2,False,False,1,10,25,0.1,18,0.22,23,6,45,55
1,46,209,202,77,1.9734368,8.214763200001,271.0745%,2,False,False,1,10,25,0.1,18,0.16,23,6,45,55
1,45,244,238,94,2.29114296,7.0922570400006,244.1735%,2,False,False,1,10,25,0.1,18,0.12,23,6,45,55
1,44,130,123,40,1.27349156,10.4091084400006,285.3724%,2,False,False,1,10,25,0.1,17,0.32,23,6,45,55
1,43,169,162,58,1.62520252,9.3965974800008,287.0798%,2,False,False,1,10,25,0.1,17,0.22,23,6,45,55
1,42,202,195,73,1.92699928,8.224400720001,263.8585%,2,False,False,1,10,25,0.1,17,0.16,23,6,45,55
1,41,240,233,91,2.25906988,7.0509301200008,238.5067%,2,False,False,1,10,25,0.1,17,0.12,23,6,45,55
1,40,129,122,39,1.2714204,10.3073796000006,276.0206%,2,False,False,1,10,25,0.1,16,0.32,23,6,45,55
1,39,176,169,60,1.70900952,9.8221904800006,294.1811%,2,False,False,1,10,25,0.1,16,0.22,23,6,45,55
1,38,207,200,74,1.99183464,8.5715653600008,269.1666%,2,False,False,1,10,25,0.1,16,0.16,23,6,45,55
1,37,244,237,91,2.32532276,7.2658772400006,238.4333%,2,False,False,1,10,25,0.1,16,0.12,23,6,45,55
1,36,136,129,42,1.33055308,10.4950469200004,289.9184%,2,False,False,1,10,25,0.1,15,0.32,23,6,45,55
1,35,177,171,61,1.71537428,9.8314257200004,299.6563%,2,False,False,1,10,25,0.1,15,0.22,23,6,45,55
1,34,209,202,75,2.00049112,8.8039088800004,280.0831%,2,False,False,1,10,25,0.1,15,0.16,23,6,45,55
1,33,253,245,95,2.38170944,7.3102905600004,245.0796%,2,False,False,1,10,25,0.1,15,0.12,23,6,45,55
1,32,130,123,40,1.26663732,10.1687626800002,282.3881%,2,False,False,1,10,25,0.1,14,0.32,23,6,45,55
1,31,176,169,60,1.70125516,9.88894484,299.1062%,2,False,False,1,10,25,0.1,14,0.22,23,6,45,55
1,30,202,196,73,1.92994536,8.4714546400004,272.5168%,2,False,False,1,10,25,0.1,14,0.16,23,6,45,55
1,29,252,243,94,2.36858812,7.4502118800004,248.5766%,2,False,False,1,10,25,0.1,14,0.12,23,6,45,55
1,28,134,125,40,1.29930692,10.0894930800002,272.4725%,2,False,False,1,10,25,0.1,13,0.32,23,6,45,55
1,27,185,176,61,1.80119372,10.170606280001,294.2316%,2,False,False,1,10,25,0.1,13,0.22,23,6,45,55
1,26,206,198,72,1.98111828,8.9662817200004,276.6805%,2,False,False,1,10,25,0.1,13,0.16,23,6,45,55
1,25,254,243,93,2.3839024,7.816697600001,256.2831%,2,False,False,1,10,25,0.1,13,0.12,23,6,45,55
1,24,137,129,42,1.3322656,10.1131343999996,278.9832%,2,False,False,1,10,25,0.1,12,0.32,23,6,45,55
1,23,185,177,62,1.80212604,10.2704739600002,301.8004%,2,False,False,1,10,25,0.1,12,0.22,23,6,45,55
1,22,212,205,75,2.04909036,9.2383096400004,286.492%,2,False,False,1,10,25,0.1,12,0.16,23,6,45,55
1,21,258,248,95,2.43880168,7.9261983200008,259.1786%,2,False,False,1,10,25,0.1,12,0.12,23,6,45,55
1,20,142,132,42,1.38039396,10.6556060399996,282.7874%,2,False,False,1,10,25,0.1,11,0.32,23,6,45,55
1,19,186,178,62,1.81348528,10.06311472,293.7533%,2,False,False,1,10,25,0.1,11,0.22,23,6,45,55
1,18,216,208,75,2.1001258,9.4486742,285.4762%,2,False,False,1,10,25,0.1,11,0.16,23,6,45,55
1,17,256,249,94,2.47304164,7.9213583600002,252.5662%,2,False,False,1,10,25,0.1,11,0.12,23,6,45,55
1,16,139,125,40,1.29075004,9.6768499599998,263.2705%,2,False,False,1,10,25,0.1,10,0.32,23,6,45,55
1,15,187,178,61,1.82701216,9.8999878400002,282.0874%,2,False,False,1,10,25,0.1,10,0.22,23,6,45,55
1,14,223,213,77,2.14245568,9.8121443200002,298.0011%,2,False,False,1,10,25,0.1,10,0.16,23,6,45,55
1,13,269,260,99,2.5596412,8.3137588000004,269.2799%,2,False,False,1,10,25,0.1,10,0.12,23,6,45,55
1,12,139,124,38,1.30122228,9.7365777199998,251.1102%,2,False,False,1,10,25,0.1,9,0.32,23,6,45,55
1,11,183,169,56,1.76126216,9.939737839999,270.4%,2,False,False,1,10,25,0.1,9,0.22,23,6,45,55
1,10,219,204,72,2.07804936,9.3703506399988,274.8565%,2,False,False,1,10,25,0.1,9,0.16,23,6,45,55
1,9,261,247,93,2.44730684,8.1900931599994,261.2078%,2,False,False,1,10,25,0.1,9,0.12,23,6,45,55
1,8,147,130,41,1.34712424,10.1020757600002,270.5621%,2,False,False,1,10,25,0.1,8,0.32,23,6,45,55
1,7,191,177,59,1.8362714,10.7485285999992,295.9903%,2,False,False,1,10,25,0.1,8,0.22,23,6,45,55
1,6,231,216,76,2.20131444,10.6662855599996,311.8999%,2,False,False,1,10,25,0.1,8,0.16,23,6,45,55
1,5,282,268,101,2.65646012,8.6879398800002,277.0154%,2,False,False,1,10,25,0.1,8,0.12,23,6,45,55
1,4,150,136,44,1.3955078,10.6282922000004,293.861%,2,False,False,1,10,25,0.1,7,0.32,23,6,45,55
1,3,191,180,61,1.85130032,10.57229968,298.3934%,2,False,False,1,10,25,0.1,7,0.22,23,6,45,55
1,2,225,211,75,2.13710284,10.0146971600002,298.2246%,2,False,False,1,10,25,0.1,7,0.16,23,6,45,55
1,1,268,257,98,2.524822,8.8899780000002,290.1079%,2,False,False,1,10,25,0.1,7,0.12,23,6,45,55